CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Unidade da Federação e Ano/mês compet.
Período:Jan/2018-Set/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set"
"29 Bahia";29331;29494;29536;29403;29411;29297;29431;29283;29252;29019;28915;29122;29095;29166;29145;28947;28936;28859;28923;28920;28857;28889;28976;28967;28961;28960;29333;29690;29807;29835;29999;30036;29864;29823;29785;29845;29858;29942;30090;30246;30111;30068;30078;30127;30007
"31 Minas Gerais";41343;41283;41262;41205;41180;41187;41134;41181;41210;41114;40888;40848;40938;40871;40724;40857;40911;41044;40886;40944;40955;40937;40993;40914;40946;40699;41266;42098;42304;43374;43351;43358;43435;42666;42586;42536;42609;42729;42926;42886;42939;42818;42845;42752;42725
"32 Espírito Santo";7677;7702;7680;7644;7710;7541;7596;7594;7602;7591;7590;7581;7710;7849;7912;7858;7914;8045;8113;8070;8112;8151;8141;8138;7930;7929;8049;8086;8089;8104;8183;8251;8139;8049;7975;7862;7853;7806;7892;8117;8193;8275;8293;8338;8356
"33 Rio de Janeiro";37885;38251;38714;38420;38532;38396;38508;38714;38583;36490;36455;36330;36567;37371;37308;37559;37437;37549;37344;37267;37148;36399;36008;35425;32456;32736;33479;34487;35351;35979;36428;35758;36189;36302;36286;36698;36323;35798;36048;35426;35795;35353;35608;35595;35572
"35 São Paulo";92522;92705;92412;92757;92108;91952;92463;92060;92393;91476;91998;92188;92206;91583;91570;91617;91398;91389;91243;91092;91257;91249;91106;91023;90502;90603;93212;94586;95370;95175;95071;95016;94611;94349;93756;93809;93418;93940;94336;94884;95145;95311;95395;95178;94753
"41 Paraná";27288;27241;27229;27040;27250;27242;27123;27226;27268;27326;27362;27392;27315;27349;27338;27389;27433;27421;27354;27327;27383;27372;27341;27439;27397;27502;27859;28127;28210;28227;28065;27987;27995;27879;27816;27774;27709;27724;28119;28182;28149;27583;27533;27303;27384
"42 Santa Catarina";15262;15261;15239;15231;15256;15312;15334;15371;15327;15386;15337;15562;15558;15536;15611;15533;15406;15332;15264;15168;15358;15337;15330;15300;15296;15322;15342;15302;15312;15117;15342;15326;15389;15309;15374;15374;15330;15429;15616;15489;15576;15466;15494;15600;15660
"43 Rio Grande do Sul";30957;30942;30887;30459;30415;30338;30426;30405;30308;30156;30266;30239;30312;30362;30381;30292;30393;30287;30264;30246;30189;30165;30208;30137;30093;30123;30361;30638;30439;30450;30385;30340;30319;30195;30064;30049;30085;29868;29675;29638;29547;29434;29413;29436;29465
"50 Mato Grosso do Sul";5588;5568;5620;5620;5611;5526;5528;5518;5492;5468;5506;5523;5569;5572;5575;5636;5608;5608;5624;5655;5644;5638;5617;5577;5611;5596;5691;5715;5711;5719;5766;5814;5815;5812;5783;5789;5789;5787;5770;5774;5683;5686;5763;5730;5752
"51 Mato Grosso";7185;7202;7191;7304;7346;7317;7277;7257;7264;7248;7197;7241;7135;7133;7228;7155;7180;7206;7433;7236;7257;7325;7285;7261;7181;7156;7072;7058;7308;7304;7337;7226;7324;7241;7220;7211;7239;7261;7312;7340;7312;7350;7372;7391;7465
"52 Goiás";17498;17717;17682;17681;17834;17912;18062;17791;17930;17777;17330;17451;17328;17306;17421;17444;17357;17219;17199;17087;17151;17262;17413;17358;17502;17445;17666;17747;17784;17880;18022;18177;18152;18164;17965;18305;18290;18386;18526;18409;18340;18423;18564;18708;18778
"53 Distrito Federal";6742;6716;6748;6523;6583;6781;6875;6733;6594;6561;6737;6737;6979;6979;7053;7382;7417;7280;7339;7219;7191;7130;6951;6631;6715;6705;6851;6840;7106;7345;7355;7317;7364;7528;7609;7739;7748;7504;7512;7592;7675;7663;7686;7703;7675
"Total";437565;438234;438005;436824;437355;437251;438243;437529;437335;432281;432086;432788;433223;433686;433971;434505;434345;433570;432803;432157;432805;432399;431928;430602;426106;426388;433574;441811;446503;448923;450599;449941;449984;448573;446960;447804;447359;447510;449720;450004;449844;448858;449282;449552;449442
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
